airline_enc,destination_enc,stops_num,departure_hour,day_of_week,month,day,price
8,5,0,21,2,3,4,621.0
8,5,0,9,2,3,4,686.0
30,5,0,1,2,3,4,716.0
30,5,0,9,2,3,4,716.0
30,5,0,23,2,3,4,819.0
24,5,0,18,3,3,5,360.0
15,5,0,13,3,3,5,401.0
30,5,0,21,3,3,5,433.0
0,5,0,4,3,3,5,479.0
8,5,0,9,3,3,5,616.0
30,5,0,9,3,3,5,529.0
0,5,0,14,3,3,5,599.0
8,5,0,21,3,3,5,616.0
8,5,0,2,3,3,5,630.0
0,5,0,2,3,3,5,644.0
30,5,0,17,3,3,5,716.0
30,5,0,1,3,3,5,725.0
24,5,3,7,3,3,5,4325.0
30,5,0,21,4,3,6,350.0
24,5,0,14,4,3,6,371.0
30,5,1,11,4,3,6,388.0
24,5,0,18,4,3,6,371.0
0,5,0,14,4,3,6,481.0
30,5,0,9,4,3,6,503.0
0,5,0,4,4,3,6,608.0
30,5,0,17,4,3,6,627.0
8,5,0,2,4,3,6,630.0
8,5,0,9,4,3,6,680.0
8,5,0,21,4,3,6,680.0
0,5,0,2,4,3,6,688.0
30,5,0,1,4,3,6,716.0
24,5,0,18,5,3,7,371.0
30,5,0,21,5,3,7,433.0
0,5,0,14,5,3,7,435.0
8,5,0,9,5,3,7,634.0
8,5,0,21,5,3,7,634.0
30,5,0,9,5,3,7,639.0
8,5,0,2,5,3,7,648.0
30,5,0,1,5,3,7,716.0
30,5,0,17,5,3,7,716.0
0,5,0,2,5,3,7,809.0
0,5,0,4,5,3,7,809.0
16,5,3,16,5,3,7,4334.0
30,5,0,21,6,3,8,350.0
24,5,0,14,6,3,8,391.0
0,5,0,4,6,3,8,416.0
8,5,0,21,6,3,8,458.0
24,5,0,18,6,3,8,391.0
0,5,0,14,6,3,8,452.0
30,5,0,17,6,3,8,481.0
30,5,0,9,6,3,8,509.0
8,5,0,9,6,3,8,534.0
8,5,0,2,6,3,8,585.0
0,5,0,2,6,3,8,673.0
30,5,0,1,6,3,8,716.0
24,5,0,18,0,3,9,391.0
1,5,1,16,0,3,9,467.0
8,5,0,2,0,3,9,503.0
0,5,0,4,0,3,9,513.0
30,5,0,9,0,3,9,579.0
0,5,0,2,0,3,9,538.0
0,5,0,14,0,3,9,538.0
